username,region_id,first_name,phone,email,birth_date
user1,4,Mario,(879)640-6277,mail1@gmail.com,1988-02-02
user2,1,Kimberly,764-763-0047,mail2@gmail.com,1992-11-07
user3,2,Kimberly,001-783-289-3672x297,mail3@gmail.com,1945-11-03
user4,6,Michael,+1-914-416-8156x3634,mail4@gmail.com,1964-11-23
user5,3,Alexandra,447.458.8838,mail5@gmail.com,1987-11-26
user6,7,Gregory,+1-943-879-0382x4989,mail6@gmail.com,1947-09-15
user7,6,Wendy,(882)944-3508x9242,mail7@gmail.com,1985-05-17
user8,2,Jeffrey,+1-874-206-6903x832,mail8@gmail.com,1950-08-16
user9,3,Colton,507.392.6123x19674,mail9@gmail.com,1950-05-12
user10,7,Brian,253-522-2036x220,mail10@gmail.com,1944-10-03
user11,10,Catherine,001-832-996-3065,mail11@gmail.com,1986-11-22
user12,2,Stephen,001-446-348-0578x660,mail12@gmail.com,1947-10-05
user13,5,Timothy,+1-953-721-4588x37746,mail13@gmail.com,1993-01-02
user14,10,Carla,206-343-8127x0510,mail14@gmail.com,1985-03-23
user15,4,Amanda,(404)950-8443,mail15@gmail.com,1959-02-02
user16,8,Melissa,001-712-569-3425x790,mail16@gmail.com,1963-03-19
user17,3,Thomas,765.536.7213,mail17@gmail.com,1951-12-06
user18,8,Danny,001-824-429-1596,mail18@gmail.com,1951-10-03
user19,7,Steven,+1-670-710-6440,mail19@gmail.com,1975-09-28
user20,5,Julie,773.839.3089,mail20@gmail.com,1967-03-03
user21,4,Patrick,+1-365-542-5521,mail21@gmail.com,1961-11-26
user22,4,Crystal,737-735-7274x31610,mail22@gmail.com,1975-12-04
user23,6,Kimberly,001-393-594-3361x39190,mail23@gmail.com,1990-04-18
user24,9,Christopher,932-789-9022,mail24@gmail.com,1952-03-05
user25,10,Brandi,+1-985-220-2456x7021,mail25@gmail.com,1979-09-08
user26,3,Pamela,(534)675-2611x38817,mail26@gmail.com,1986-05-05
user27,1,Jennifer,344.745.2433,mail27@gmail.com,1964-07-21
user28,6,Damon,4672365827,mail28@gmail.com,1968-08-19
user29,1,John,363.759.7766,mail29@gmail.com,2004-02-04
user30,10,William,758.938.5069x44743,mail30@gmail.com,1953-02-17
user31,5,Christopher,844.231.8679x8490,mail31@gmail.com,1944-12-25
user32,7,Julia,763-245-9315x3128,mail32@gmail.com,1944-07-10
user33,6,Alyssa,001-745-670-9632x3555,mail33@gmail.com,1967-07-19
user34,2,Lisa,(794)785-1471,mail34@gmail.com,2000-07-15
user35,8,Michelle,372.364.6473x278,mail35@gmail.com,1981-03-23
user36,6,Jason,342.559.0768x358,mail36@gmail.com,1965-06-20
